Timestamp,ACCL:L0B:0110:PDES,ACCL:L0B:0120:PDES
2024/04/01 14:25:06.214,-100,N/A
2024/04/01 14:25:14.623,-96,N/A
2024/04/01 14:25:19.072,-92,N/A
2024/04/01 14:25:22.188,-88,N/A
2024/04/01 14:25:25.712,-84,N/A
2024/04/01 14:25:28.705,-80,N/A
2024/04/01 14:25:31.504,-76,N/A
2024/04/01 14:25:34.399,-72,N/A
2024/04/01 14:25:37.284,-68,N/A
2024/04/01 14:25:40.076,-64,N/A
2024/04/01 14:25:42.849,-60,N/A
2024/04/01 14:25:45.636,-56,N/A
2024/04/01 14:25:48.374,-52,N/A
2024/04/01 14:25:51.158,-48,N/A
2024/04/01 14:25:53.815,-44,N/A
2024/04/01 14:25:56.613,-40,N/A
2024/04/01 14:25:59.412,-36,N/A
2024/04/01 14:26:02.205,-32,N/A
2024/04/01 14:26:04.891,-28,N/A
2024/04/01 14:26:07.593,-24,N/A
2024/04/01 14:26:10.438,-20,N/A
2024/04/01 14:26:13.128,-16,N/A
2024/04/01 14:26:15.867,-12,N/A
2024/04/01 14:26:18.426,-8,N/A
2024/04/01 14:26:21.011,-4,N/A
2024/04/01 14:26:23.663,0,N/A
2024/04/01 14:26:26.358,4,N/A
2024/04/01 14:26:29.004,8,N/A
2024/04/01 14:26:31.747,12,N/A
2024/04/01 14:26:34.414,16,N/A
2024/04/01 14:26:37.082,20,N/A
2024/04/01 14:26:39.856,24,N/A
2024/04/01 14:26:42.566,28,N/A
2024/04/01 14:26:45.267,32,N/A
2024/04/01 14:26:47.817,36,N/A
2024/04/01 14:26:50.383,40,N/A
2024/04/01 14:26:52.959,44,N/A
2024/04/01 14:26:55.755,48,N/A
2024/04/01 14:26:58.467,52,N/A
2024/04/01 14:27:01.197,56,N/A
2024/04/01 14:27:03.784,60,N/A
2024/04/01 14:27:06.416,64,N/A
2024/04/01 14:27:09.026,68,N/A
2024/04/01 14:27:11.616,72,N/A
2024/04/01 14:27:14.273,76,N/A
2024/04/01 14:27:16.875,80,N/A
2024/04/01 14:27:19.480,84,N/A
2024/04/01 14:27:22.095,88,N/A
2024/04/01 14:27:24.775,92,N/A
2024/04/01 14:27:27.642,96,N/A
2024/04/01 14:27:30.381,100,N/A
2024/04/01 14:27:32.934,0,N/A
2024/04/01 14:29:24.161,4,N/A
2024/04/01 14:32:34.693,N/A,-60
2024/04/01 14:32:36.057,N/A,-46.666666666666664
2024/04/01 14:32:37.784,N/A,-20
2024/04/01 14:32:39.541,N/A,6.666666666666666
2024/04/01 14:32:41.028,N/A,33.333333333333336
2024/04/01 14:32:42.486,N/A,60
2024/04/01 14:32:43.223,N/A,0
2024/04/01 14:33:01.707,N/A,-0.7580636794102663
2024/04/01 14:33:01.843,N/A,0
2024/04/01 14:34:13.254,4,0
